sample_index,num_qubits,dimension,attack,ensemble,purity,shots,alpha_requested,alpha_effective,epsilon_physical_actual,epsilon_frequency,fidelity,infidelity,trace_distance,frobenius_distance,measurement_l2,target_fidelity,minimum_eigenvalue,trace_error,hermitian_error
0,1,2,frequency_pgd,1,0.7653061747550964,1000,0.0,0.0,0.0,0.03,0.986587643623352,0.01341235637664795,0.08205804228782654,0.11604759097099304,0.04663512483239174,,0.07342252135276794,0.0,0.0
1,1,2,frequency_pgd,0,1.0000001192092896,1000,0.0,0.0,0.0,0.03,0.9849565029144287,0.015043497085571289,0.045704372227191925,0.0646357461810112,0.02760167233645916,,0.013557955622673035,5.960464477539063e-08,0.0
2,1,2,frequency_pgd,0,1.0000001192092896,1000,0.0,0.0,0.0,0.03,0.9754119515419006,0.024588048458099365,0.07211004197597504,0.10197900235652924,0.0070299627259373665,,0.020281776785850525,0.0,0.0
3,1,2,frequency_pgd,2,0.6519488096237183,1000,0.0,0.0,0.0,0.03,0.981575071811676,0.018424928188323975,0.10328243672847748,0.1460634171962738,0.04271775111556053,,0.12356666475534439,5.960464477539063e-08,0.0
4,1,2,frequency_pgd,1,0.8554863333702087,1000,0.0,0.0,0.0,0.03,0.9858700633049011,0.014129936695098877,0.05357985943555832,0.07577336579561234,0.01800202950835228,,0.027209579944610596,0.0,0.0
5,1,2,frequency_pgd,0,1.0,1000,0.0,0.0,0.0,0.03,0.9806597232818604,0.01934027671813965,0.07803439348936081,0.11035728454589844,0.021445775404572487,,0.013495683670043945,0.0,0.0
6,1,2,frequency_pgd,0,1.0,1000,0.0,0.0,0.0,0.03,0.9814904928207397,0.018509507179260254,0.04379962384700775,0.061942026019096375,0.012451005168259144,,0.017126038670539856,0.0,0.0
7,1,2,frequency_pgd,1,0.6909981966018677,1000,0.0,0.0,0.0,0.03,0.9977644085884094,0.002235591411590576,0.04705778509378433,0.06654975563287735,0.03340436890721321,,0.1969519406557083,0.0,0.0
8,1,2,frequency_pgd,1,0.6705093383789062,1000,0.0,0.0,0.0,0.03,0.9872234463691711,0.012776553630828857,0.11299732327461243,0.15980234742164612,0.022648004814982414,,0.20403629541397095,0.0,0.0
9,1,2,frequency_pgd,0,1.000000238418579,1000,0.0,0.0,0.0,0.03,0.9840880632400513,0.01591193675994873,0.0558856800198555,0.07903428375720978,0.015250610187649727,,0.013386905193328857,0.0,0.0
10,1,2,frequency_pgd,0,1.0000001192092896,1000,0.0,0.0,0.0,0.03,0.987109363079071,0.012890636920928955,0.06253468990325928,0.08843740075826645,0.04771778732538223,,0.009309083223342896,0.0,0.0
11,1,2,frequency_pgd,1,0.7989252805709839,1000,0.0,0.0,0.0,0.03,0.9798921942710876,0.020107805728912354,0.07909876108169556,0.11186253279447556,0.029704399406909943,,0.0414719432592392,0.0,0.0
12,1,2,frequency_pgd,1,0.5670697689056396,1000,0.0,0.0,0.0,0.03,0.9901073575019836,0.009892642498016357,0.09164842218160629,0.12961043417453766,0.025619277730584145,,0.23923686146736145,5.960464477539063e-08,0.0
13,1,2,frequency_pgd,1,0.9454352259635925,1000,0.0,0.0,0.0,0.03,0.994128406047821,0.005871593952178955,0.06829395890235901,0.09658222645521164,0.015106596052646637,,0.017307400703430176,0.0,0.0
14,1,2,frequency_pgd,0,0.9999998211860657,1000,0.0,0.0,0.0,0.03,0.9765001535415649,0.02349984645843506,0.0851195827126503,0.12037726491689682,0.014261563308537006,,0.01659224182367325,0.0,0.0
15,1,2,frequency_pgd,1,0.8498386144638062,1000,0.0,0.0,0.0,0.03,0.9856769442558289,0.014323055744171143,0.07626263797283173,0.10785166174173355,0.028822842985391617,,0.03421207517385483,5.960464477539063e-08,0.0
16,1,2,frequency_pgd,2,0.6503728628158569,1000,0.0,0.0,0.0,0.03,0.9918738603591919,0.008126139640808105,0.07446257770061493,0.1053059920668602,0.032390836626291275,,0.16075074672698975,5.960464477539063e-08,0.0
17,1,2,frequency_pgd,1,0.5644533634185791,1000,0.0,0.0,0.0,0.03,0.9918919205665588,0.008108079433441162,0.08621929585933685,0.1219325065612793,0.022966086864471436,,0.2637719511985779,0.0,0.0
18,1,2,frequency_pgd,1,0.7754163146018982,1000,0.0,0.0,0.0,0.03,0.9775218367576599,0.022478163242340088,0.09122203290462494,0.12900742888450623,0.04103729501366615,,0.049120038747787476,0.0,0.0
19,1,2,frequency_pgd,0,1.000000238418579,1000,0.0,0.0,0.0,0.03,0.9916125535964966,0.008387446403503418,0.059330396354198456,0.08390585333108902,0.06766225397586823,,0.005317375063896179,0.0,0.0
20,1,2,frequency_pgd,0,0.9999998211860657,1000,0.0,0.0,0.0,0.03,0.9833990335464478,0.016600966453552246,0.05912686139345169,0.08361801505088806,0.011790039017796516,,0.013837829232215881,0.0,0.0
21,1,2,frequency_pgd,2,0.9198804497718811,1000,0.0,0.0,0.0,0.03,0.9910732507705688,0.008926749229431152,0.07217095792293549,0.10206514596939087,0.023821422830224037,,0.019758038222789764,1.1920928955078125e-07,0.0
22,1,2,frequency_pgd,1,0.8254702091217041,1000,0.0,0.0,0.0,0.03,0.9850450158119202,0.014954984188079834,0.07861775904893875,0.111182302236557,0.03773147612810135,,0.042503997683525085,5.960464477539063e-08,0.0
23,1,2,frequency_pgd,1,0.8792009949684143,1000,0.0,0.0,0.0,0.03,0.9867831468582153,0.013216853141784668,0.05951754376292229,0.08417050540447235,0.02112525887787342,,0.022222943603992462,0.0,0.0
24,1,2,frequency_pgd,2,0.8500601649284363,1000,0.0,0.0,0.0,0.03,0.983211874961853,0.016788125038146973,0.08773300051689148,0.12407320737838745,0.03407437726855278,,0.032931432127952576,0.0,0.0
25,1,2,frequency_pgd,2,0.7618287205696106,1000,0.0,0.0,0.0,0.03,0.9944907426834106,0.0055092573165893555,0.07409796118736267,0.1047903373837471,0.03277226909995079,,0.13408991694450378,0.0,0.0
26,1,2,frequency_pgd,2,0.914972186088562,1000,0.0,0.0,0.0,0.03,0.9957941770553589,0.004205822944641113,0.06457287073135376,0.09131983667612076,0.037248145788908005,,0.04180799424648285,0.0,0.0
27,1,2,frequency_pgd,0,0.9999997615814209,1000,0.0,0.0,0.0,0.03,0.982460618019104,0.017539381980895996,0.07841508835554123,0.11089568585157394,0.024635478854179382,,0.011587187647819519,0.0,0.0
28,1,2,frequency_pgd,1,0.7920433282852173,1000,0.0,0.0,0.0,0.03,0.9732767343521118,0.026723265647888184,0.10643301904201508,0.1505190134048462,0.041269369423389435,,0.04103995859622955,0.0,0.0
29,1,2,frequency_pgd,1,0.8808098435401917,1000,0.0,0.0,0.0,0.03,0.983323335647583,0.016676664352416992,0.10770706087350845,0.1523207724094391,0.026235731318593025,,0.030836936086416245,5.960464477539063e-08,0.0
30,1,2,frequency_pgd,1,0.9748748540878296,1000,0.0,0.0,0.0,0.03,0.9933028817176819,0.006697118282318115,0.07283240556716919,0.10300057381391525,0.011591139249503613,,0.022850647568702698,0.0,0.0
31,1,2,frequency_pgd,2,0.9746794700622559,1000,0.0,0.0,0.0,0.03,0.9969285726547241,0.003071427345275879,0.050947971642017365,0.07205132395029068,0.005295845214277506,,0.018375486135482788,0.0,0.0
32,1,2,frequency_pgd,0,0.9999998807907104,1000,0.0,0.0,0.0,0.03,0.9840630292892456,0.015936970710754395,0.06827579438686371,0.09655654430389404,0.018902910873293877,,0.011653527617454529,0.0,0.0
33,1,2,frequency_pgd,2,0.7130409479141235,1000,0.0,0.0,0.0,0.03,0.993152916431427,0.006847083568572998,0.06925240159034729,0.0979376956820488,0.049272406846284866,,0.12746861577033997,0.0,0.0
34,1,2,frequency_pgd,2,0.6394845247268677,1000,0.0,0.0,0.0,0.03,0.9958043098449707,0.004195690155029297,0.06265118718147278,0.08860215544700623,0.019887078553438187,,0.21114635467529297,0.0,0.0
35,1,2,frequency_pgd,2,0.5313044190406799,1000,0.0,0.0,0.0,0.03,0.9923763871192932,0.007623612880706787,0.08620542287826538,0.1219128742814064,0.008560207672417164,,0.45496276021003723,0.0,0.0
36,1,2,frequency_pgd,1,0.9666136503219604,1000,0.0,0.0,0.0,0.03,0.9963003396987915,0.003699660301208496,0.060791581869125366,0.08597227185964584,0.004317311104387045,,0.017517775297164917,0.0,0.0
37,1,2,frequency_pgd,2,0.6877874135971069,1000,0.0,0.0,0.0,0.03,0.9863976836204529,0.01360231637954712,0.087546706199646,0.12380973994731903,0.04285375773906708,,0.11419886350631714,0.0,0.0
38,1,2,frequency_pgd,2,0.6012876033782959,1000,0.0,0.0,0.0,0.03,0.9936462640762329,0.00635373592376709,0.07946481555700302,0.11238022148609161,0.019006473943591118,,0.2629268169403076,0.0,0.0
39,1,2,frequency_pgd,2,0.7793312072753906,1000,0.0,0.0,0.0,0.03,0.9903480410575867,0.00965195894241333,0.06692308932542801,0.09464354068040848,0.04017764702439308,,0.07305827736854553,0.0,0.0
40,1,2,frequency_pgd,0,1.0000001192092896,1000,0.0,0.0,0.0,0.03,0.9823505878448486,0.017649412155151367,0.05272039771080017,0.07455790042877197,0.027596360072493553,,0.015403436496853828,0.0,0.0
41,1,2,frequency_pgd,0,1.0000001192092896,1000,0.0,0.0,0.0,0.03,0.9836904406547546,0.01630955934524536,0.05861873924732208,0.08289942145347595,0.04023750126361847,,0.01310788094997406,0.0,0.0
42,1,2,frequency_pgd,0,1.0,1000,0.0,0.0,0.0,0.03,0.9780285954475403,0.021971404552459717,0.0665968507528305,0.09418217837810516,0.008528534322977066,,0.01791994273662567,0.0,0.0
43,1,2,frequency_pgd,2,0.5969184041023254,1000,0.0,0.0,0.0,0.03,0.9971250891685486,0.002874910831451416,0.05354635417461395,0.0757259801030159,0.013728885911405087,,0.28554993867874146,0.0,0.0
44,1,2,frequency_pgd,1,0.7391970157623291,1000,0.0,0.0,0.0,0.03,0.9681587219238281,0.031841278076171875,0.11311955749988556,0.15997521579265594,0.04790428280830383,,0.05253784358501434,0.0,0.0
45,1,2,frequency_pgd,2,0.5501433610916138,1000,0.0,0.0,0.0,0.03,0.9942070841789246,0.0057929158210754395,0.07462406158447266,0.10553436726331711,0.01213551964610815,,0.3023826777935028,0.0,0.0
46,1,2,frequency_pgd,1,0.5400184988975525,1000,0.0,0.0,0.0,0.03,0.997416615486145,0.0025833845138549805,0.04860013723373413,0.06873097270727158,0.01150792371481657,,0.3154563009738922,0.0,0.0
47,1,2,frequency_pgd,0,0.9999997615814209,1000,0.0,0.0,0.0,0.03,0.9749069809913635,0.025093019008636475,0.05003822594881058,0.07076473534107208,0.014570512808859348,,0.02318917214870453,0.0,0.0
48,1,2,frequency_pgd,1,0.7612067461013794,1000,0.0,0.0,0.0,0.03,0.9916505813598633,0.008349418640136719,0.08861233294010162,0.1253167688846588,0.030332447960972786,,0.16133296489715576,0.0,0.0
49,1,2,frequency_pgd,1,0.8378446698188782,1000,0.0,0.0,0.0,0.03,0.9804202318191528,0.019579768180847168,0.06441238522529602,0.09109286963939667,0.020787347108125687,,0.026467636227607727,0.0,0.0
50,1,2,frequency_pgd,0,1.0000001192092896,1000,0.0,0.0,0.0,0.03,0.9853119850158691,0.01468801498413086,0.06674333661794662,0.09438933432102203,0.03211158514022827,,0.010404497385025024,0.0,0.0
51,1,2,frequency_pgd,0,0.9999997615814209,1000,0.0,0.0,0.0,0.03,0.9786155819892883,0.02138441801071167,0.06132420524954796,0.08672552555799484,0.010978811420500278,,0.018196359276771545,0.0,0.0
52,1,2,frequency_pgd,0,1.0,1000,0.0,0.0,0.0,0.03,0.9844931364059448,0.015506863594055176,0.07167617976665497,0.10136542469263077,0.028934240341186523,,0.010726585984230042,0.0,0.0
53,1,2,frequency_pgd,1,0.7975419759750366,1000,0.0,0.0,0.0,0.03,0.986344575881958,0.013655424118041992,0.07846730947494507,0.11096954345703125,0.052657388150691986,,0.05685895308852196,1.1920928955078125e-07,0.0
54,1,2,frequency_pgd,2,0.6843264102935791,1000,0.0,0.0,0.0,0.03,0.988907516002655,0.01109248399734497,0.09294682741165161,0.13144665956497192,0.03978653624653816,,0.14074645936489105,0.0,0.0
55,1,2,frequency_pgd,1,0.7760835289955139,1000,0.0,0.0,0.0,0.03,0.9905708432197571,0.00942915678024292,0.06694959104061127,0.0946810320019722,0.04378953203558922,,0.07554696500301361,1.1920928955078125e-07,0.0
