sample_index,num_qubits,dimension,attack,ensemble,purity,shots,alpha_requested,alpha_effective,epsilon_physical_actual,epsilon_frequency,fidelity,infidelity,trace_distance,frobenius_distance,measurement_l2,target_fidelity,minimum_eigenvalue,trace_error,hermitian_error
0,1,2,random_replacement,1,0.7653061747550964,1000,0.10000000149011612,0.10000000149011612,0.017094653099775314,0.03,0.9990847110748291,0.0009152889251708984,0.03024936467409134,0.04277906194329262,0.0526379719376564,,0.13649341464042664,0.0,0.0
1,1,2,random_replacement,0,1.0000001192092896,1000,0.10000000149011612,0.10000000149011612,0.07568421959877014,0.03,0.9617841839790344,0.038215816020965576,0.07368078827857971,0.10420037060976028,0.023115461692214012,,0.0340055376291275,0.0,0.0
2,1,2,random_replacement,0,1.0000001192092896,1000,0.10000000149011612,0.10000000149011612,0.09513359516859055,0.03,0.9297836422920227,0.0702163577079773,0.0844641923904419,0.1194504126906395,0.041643064469099045,,0.06773059070110321,0.0,0.0
3,1,2,random_replacement,2,0.6519488096237183,1000,0.10000000149011612,0.10000000149011612,0.046618569642305374,0.03,0.9965507984161377,0.0034492015838623047,0.05854422599077225,0.08279404044151306,0.043432608246803284,,0.21741048991680145,0.0,0.0
4,1,2,random_replacement,1,0.8554863333702087,1000,0.10000000149011612,0.10000000149011612,0.05171439051628113,0.03,0.9995225071907043,0.0004774928092956543,0.019974250346422195,0.028247855603694916,0.04585091024637222,,0.08418750762939453,0.0,0.0
5,1,2,random_replacement,0,1.0,1000,0.10000000149011612,0.10000000149011612,0.05749550461769104,0.03,0.964145839214325,0.03585416078567505,0.0497368760406971,0.07033856213092804,0.02115340530872345,,0.03464271128177643,0.0,0.0
6,1,2,random_replacement,0,1.0,1000,0.10000000149011612,0.10000000149011612,0.0337352529168129,0.03,0.9843919277191162,0.015608072280883789,0.027326669543981552,0.03864574804902077,0.0187224093824625,,0.01515372097492218,0.0,0.0
7,1,2,random_replacement,1,0.6909981966018677,1000,0.10000000149011612,0.10000000149011612,0.03530372679233551,0.03,0.9888077974319458,0.0111922025680542,0.08650252223014832,0.12233304232358932,0.05445745214819908,,0.12627826631069183,0.0,0.0
8,1,2,random_replacement,1,0.6705093383789062,1000,0.10000000149011612,0.10000000149011612,0.04917720705270767,0.03,0.9984217882156372,0.001578211784362793,0.03864750266075134,0.05465582013130188,0.04513983428478241,,0.19565251469612122,0.0,0.0
9,1,2,random_replacement,0,1.000000238418579,1000,0.10000000149011612,0.10000000149011612,0.052734263241291046,0.03,0.9608508944511414,0.03914910554885864,0.05287416651844978,0.07477536052465439,0.028788506984710693,,0.038359418511390686,0.0,0.0
10,1,2,random_replacement,0,1.0000001192092896,1000,0.10000000149011612,0.10000000149011612,0.09527269750833511,0.03,0.9301610589027405,0.06983894109725952,0.08601829409599304,0.12164822965860367,0.04060431197285652,,0.06698797643184662,5.960464477539063e-08,0.0
11,1,2,random_replacement,1,0.7989252805709839,1000,0.10000000149011612,0.10000000149011612,0.057596515864133835,0.03,0.9958075284957886,0.004192471504211426,0.060336124151945114,0.08532816171646118,0.05037199705839157,,0.09526421129703522,0.0,0.0
12,1,2,random_replacement,1,0.5670697689056396,1000,0.10000000149011612,0.10000000149011612,0.06472747027873993,0.03,0.9984009861946106,0.0015990138053894043,0.03850600868463516,0.0544557198882103,0.0241348035633564,,0.3470713198184967,0.0,0.0
13,1,2,random_replacement,1,0.9454352259635925,1000,0.10000000149011612,0.10000000149011612,0.019024908542633057,0.03,0.9994807839393616,0.0005192160606384277,0.021920934319496155,0.031000886112451553,0.013074000366032124,,0.02584262192249298,0.0,0.0
14,1,2,random_replacement,0,0.9999998211860657,1000,0.10000000149011612,0.10000000149011612,0.0667189210653305,0.03,0.9676495790481567,0.03235042095184326,0.07912188768386841,0.11189524829387665,0.011584987863898277,,0.026988260447978973,0.0,0.0
15,1,2,random_replacement,1,0.8498386144638062,1000,0.10000000149011612,0.10000000149011612,0.08065199851989746,0.03,0.9934132695198059,0.006586730480194092,0.06863608956336975,0.09706609696149826,0.05080435797572136,,0.11360170692205429,0.0,0.0
16,1,2,random_replacement,2,0.6503728628158569,1000,0.10000000149011612,0.10000000149011612,0.025276172906160355,0.03,0.9951268434524536,0.004873156547546387,0.0587690994143486,0.08311206102371216,0.05038875341415405,,0.175547257065773,0.0,0.0
17,1,2,random_replacement,1,0.5644533634185791,1000,0.10000000149011612,0.10000000149011612,0.04224120453000069,0.03,0.9965279698371887,0.0034720301628112793,0.05886077135801315,0.08324170112609863,0.03453054651618004,,0.31322118639945984,0.0,0.0
18,1,2,random_replacement,1,0.7754163146018982,1000,0.10000000149011612,0.10000000149011612,0.047010503709316254,0.03,0.9982048273086548,0.0017951726913452148,0.04222298786044121,0.05971232056617737,0.05075891688466072,,0.13211607933044434,0.0,0.0
19,1,2,random_replacement,0,1.000000238418579,1000,0.10000000149011612,0.10000000149011612,0.09895186871290207,0.03,0.9185628890991211,0.0814371109008789,0.08820778876543045,0.12474465370178223,0.04636900871992111,,0.0803467333316803,0.0,0.0
20,1,2,random_replacement,0,0.9999998211860657,1000,0.10000000149011612,0.10000000149011612,0.05010853707790375,0.03,0.9800482392311096,0.01995176076889038,0.029331404715776443,0.04148087278008461,0.007807166315615177,,0.019535735249519348,0.0,0.0
21,1,2,random_replacement,2,0.9198804497718811,1000,0.10000000149011612,0.10000000149011612,0.05689339339733124,0.03,0.9954230785369873,0.004576921463012695,0.05932791158556938,0.08390234410762787,0.03638598695397377,,0.057430192828178406,5.960464477539063e-08,0.0
22,1,2,random_replacement,1,0.8254702091217041,1000,0.10000000149011612,0.10000000149011612,0.05901293084025383,0.03,0.9974278211593628,0.002572178840637207,0.04289306327700615,0.06065995246171951,0.044046640396118164,,0.07810795307159424,0.0,0.0
23,1,2,random_replacement,1,0.8792009949684143,1000,0.10000000149011612,0.10000000149011612,0.07897160202264786,0.03,0.9977289438247681,0.0022710561752319336,0.04083189368247986,0.05774501711130142,0.04663730412721634,,0.07937364280223846,0.0,0.0
24,1,2,random_replacement,2,0.8500601649284363,1000,0.10000000149011612,0.10000000149011612,0.06120298057794571,0.03,0.9932196736335754,0.0067803263664245605,0.058787859976291656,0.0831385925412178,0.05419796332716942,,0.12566077709197998,0.0,0.0
25,1,2,random_replacement,2,0.7618287205696106,1000,0.10000000149011612,0.10000000149011612,0.06257672607898712,0.03,0.9993120431900024,0.0006879568099975586,0.020518969744443893,0.029018206521868706,0.04999933019280434,,0.154509499669075,0.0,0.0
26,1,2,random_replacement,2,0.914972186088562,1000,0.10000000149011612,0.10000000149011612,0.08870956301689148,0.03,0.9899048805236816,0.01009511947631836,0.07846756279468536,0.11096988618373871,0.04690467193722725,,0.0784946084022522,0.0,0.0
