sample_index,num_qubits,dimension,attack,ensemble,purity,shots,alpha_requested,alpha_effective,epsilon_physical_actual,epsilon_frequency,fidelity,infidelity,trace_distance,frobenius_distance,measurement_l2,target_fidelity,minimum_eigenvalue,trace_error,hermitian_error
0,1,2,targeted_replacement,1,0.7653061747550964,1000,0.10000000149011612,0.10000000149011612,0.06922942399978638,0.03,0.9915628433227539,0.008437156677246094,0.0835600346326828,0.11817172914743423,0.049017418175935745,0.47957488894462585,0.17586565017700195,0.0,0.0
1,1,2,targeted_replacement,0,1.0000001192092896,1000,0.10000000149011612,0.10000000149011612,0.07422994077205658,0.03,0.9572128653526306,0.042787134647369385,0.07996033132076263,0.11308099329471588,0.026562245562672615,0.5206997394561768,0.03789113461971283,5.960464477539063e-08,0.0
2,1,2,targeted_replacement,0,1.0000001192092896,1000,0.10000000149011612,0.10000000149011612,0.08275840431451797,0.03,0.9517747759819031,0.048225224018096924,0.06073325127363205,0.0858897790312767,0.034550976008176804,0.3669104278087616,0.04717470705509186,5.960464477539063e-08,0.0
3,1,2,targeted_replacement,2,0.6519488096237183,1000,0.10000000149011612,0.10000000149011612,0.057767704129219055,0.03,0.998498260974884,0.0015017390251159668,0.037803731858730316,0.053462546318769455,0.04385775327682495,0.5255207419395447,0.21184901893138885,0.0,0.0
4,1,2,targeted_replacement,1,0.8554863333702087,1000,0.10000000149011612,0.10000000149011612,0.08538153767585754,0.03,0.9940683841705322,0.0059316158294677734,0.06317117810249329,0.0893375352025032,0.049868784844875336,0.2533230781555176,0.10997923463582993,0.0,0.0
5,1,2,targeted_replacement,0,1.0,1000,0.10000000149011612,0.10000000149011612,0.05124863237142563,0.03,0.9755303263664246,0.02446967363357544,0.05663319304585457,0.0800914317369461,0.003868726547807455,0.7672059535980225,0.02180027961730957,0.0,0.0
6,1,2,targeted_replacement,0,1.0,1000,0.10000000149011612,0.10000000149011612,0.0972805768251419,0.03,0.9385084509849548,0.061491549015045166,0.0646999329328537,0.09149952232837677,0.038570795208215714,0.10103174299001694,0.061743348836898804,0.0,0.0
7,1,2,targeted_replacement,1,0.6909981966018677,1000,0.10000000149011612,0.10000000149011612,0.07046420872211456,0.03,0.9981789588928223,0.0018210411071777344,0.04263870045542717,0.06030023470520973,0.05000559613108635,0.38813304901123047,0.19324487447738647,0.0,0.0
8,1,2,targeted_replacement,1,0.6705093383789062,1000,0.10000000149011612,0.10000000149011612,0.07668308913707733,0.03,0.993440568447113,0.006559431552886963,0.07439997047185898,0.10521745681762695,0.03786624222993851,0.31821852922439575,0.25863760709762573,0.0,0.0
9,1,2,targeted_replacement,0,1.000000238418579,1000,0.10000000149011612,0.10000000149011612,0.06490782648324966,0.03,0.9744047522544861,0.025595247745513916,0.056445732712745667,0.07982632517814636,0.014383945614099503,0.623437225818634,0.02337227761745453,0.0,0.0
10,1,2,targeted_replacement,0,1.0000001192092896,1000,0.10000000149011612,0.10000000149011612,0.09380945563316345,0.03,0.9276906847953796,0.07230931520462036,0.07606063783168793,0.1075659915804863,0.04204687848687172,0.16455551981925964,0.0717301219701767,0.0,0.0
