sample_index,num_qubits,dimension,attack,ensemble,purity,shots,alpha_requested,alpha_effective,epsilon_physical_actual,epsilon_frequency,fidelity,infidelity,trace_distance,frobenius_distance,measurement_l2,target_fidelity,minimum_eigenvalue,trace_error,hermitian_error
0,1,2,worst_replacement,1,0.7653061747550964,1000,0.10000000149011612,0.10000000149011612,0.08642159402370453,0.03,0.9953531622886658,0.0046468377113342285,0.052106261253356934,0.07368937879800797,0.04800262674689293,,0.18282020092010498,0.0,0.0
1,1,2,worst_replacement,0,1.0000001192092896,1000,0.10000000149011612,0.10000000149011612,0.09999999403953552,0.03,0.9295414686203003,0.07045853137969971,0.0745900571346283,0.10548626631498337,0.04490537941455841,,0.07037349045276642,0.0,0.0
2,1,2,worst_replacement,0,1.0000001192092896,1000,0.10000000149011612,0.10000000149011612,0.10000001639127731,0.03,0.9297413229942322,0.07025867700576782,0.07207109034061432,0.10192390531301498,0.04420585557818413,,0.0700298398733139,1.1920928955078125e-07,0.0
3,1,2,worst_replacement,2,0.6519488096237183,1000,0.10000000149011612,0.10000000149011612,0.07756347209215164,0.03,0.994773805141449,0.005226194858551025,0.06375448405742645,0.09016246348619461,0.03041008859872818,,0.2846542000770569,0.0,0.0
4,1,2,worst_replacement,1,0.8554863333702087,1000,0.10000000149011612,0.10000000149011612,0.09215959906578064,0.03,0.9939513206481934,0.006048679351806641,0.05686342343688011,0.08041702955961227,0.05065362900495529,,0.11738162487745285,1.1920928955078125e-07,0.0
5,1,2,worst_replacement,0,1.0,1000,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.03,0.9179218411445618,0.08207815885543823,0.0839385986328125,0.11870711296796799,0.045105818659067154,,0.08198843896389008,0.0,0.0
6,1,2,worst_replacement,0,1.0,1000,0.10000000149011612,0.10000000149011612,0.10000003129243851,0.03,0.9184049963951111,0.08159500360488892,0.08976498246192932,0.1269468516111374,0.0464317686855793,,0.07999721169471741,0.0,0.0
7,1,2,worst_replacement,1,0.6909981966018677,1000,0.10000000149011612,0.10000000149011612,0.08090293407440186,0.03,0.993360161781311,0.006639838218688965,0.0702543705701828,0.09935469180345535,0.03972342237830162,,0.25233232975006104,5.960464477539063e-08,0.0
8,1,2,worst_replacement,1,0.6705093383789062,1000,0.10000000149011612,0.10000000149011612,0.07919840514659882,0.03,0.9926010370254517,0.00739896297454834,0.0769151896238327,0.10877449810504913,0.036026109009981155,,0.2708398103713989,0.0,0.0
9,1,2,worst_replacement,0,1.000000238418579,1000,0.10000000149011612,0.10000000149011612,0.09999999403953552,0.03,0.9294992685317993,0.07050073146820068,0.07125891745090485,0.1007753312587738,0.044136982411146164,,0.07044616341590881,0.0,0.0
10,1,2,worst_replacement,0,1.0000001192092896,1000,0.10000000149011612,0.10000000149011612,0.10000000894069672,0.03,0.9327511787414551,0.06724882125854492,0.06901172548532486,0.09759731590747833,0.04022492468357086,,0.06724350154399872,0.0,0.0
11,1,2,worst_replacement,1,0.7989252805709839,1000,0.10000000149011612,0.10000000149011612,0.08866039663553238,0.03,0.9939203262329102,0.006079673767089844,0.05573991313576698,0.07882814109325409,0.05259091407060623,,0.1654725968837738,0.0,0.0
12,1,2,worst_replacement,1,0.5670697689056396,1000,0.10000000149011612,0.10000000149011612,0.06831254065036774,0.03,0.9953248500823975,0.004675149917602539,0.06520570814609528,0.09221480041742325,0.018943680450320244,,0.38181039690971375,1.1920928955078125e-07,0.0
13,1,2,worst_replacement,1,0.9454352259635925,1000,0.10000000149011612,0.10000000149011612,0.09719300270080566,0.03,0.9820968508720398,0.017903149127960205,0.06627652794122696,0.0937291607260704,0.04948100447654724,,0.08670380711555481,0.0,0.0
14,1,2,worst_replacement,0,0.9999998211860657,1000,0.10000000149011612,0.10000000149011612,0.09999998658895493,0.03,0.9287270903587341,0.07127290964126587,0.07534350454807281,0.10655180364847183,0.03905854746699333,,0.07101069390773773,0.0,0.0
15,1,2,worst_replacement,1,0.8498386144638062,1000,0.10000000149011612,0.10000000149011612,0.09182335436344147,0.03,0.994767963886261,0.005232036113739014,0.04434729740023613,0.062716543674469,0.05151315778493881,,0.1253795176744461,5.960464477539063e-08,0.0
16,1,2,worst_replacement,2,0.6503728628158569,1000,0.10000000149011612,0.10000000149011612,0.07742014527320862,0.03,0.9951412081718445,0.004858791828155518,0.06152955815196037,0.08701594173908234,0.033147260546684265,,0.28384414315223694,0.0,0.0
17,1,2,worst_replacement,1,0.5644533634185791,1000,0.10000000149011612,0.10000000149011612,0.06795180588960648,0.03,0.9928931593894958,0.00710684061050415,0.08256132900714874,0.11675934493541718,0.02523929812014103,,0.3734714686870575,0.0,0.0
18,1,2,worst_replacement,1,0.7754163146018982,1000,0.10000000149011612,0.10000000149011612,0.08710905909538269,0.03,0.9975355863571167,0.0024644136428833008,0.03719561547040939,0.05260253697633743,0.049817804247140884,,0.1614913046360016,0.0,0.0
19,1,2,worst_replacement,0,1.000000238418579,1000,0.10000000149011612,0.10000000149011612,0.10000002384185791,0.03,0.9408031702041626,0.0591968297958374,0.059862151741981506,0.08465787023305893,0.03728225827217102,,0.05929753929376602,5.960464477539063e-08,0.0
20,1,2,worst_replacement,0,0.9999998211860657,1000,0.10000000149011612,0.10000000149011612,0.10000000894069672,0.03,0.9170937538146973,0.08290624618530273,0.089447982609272,0.1264985352754593,0.04936962202191353,,0.08162932097911835,0.0,0.0
21,1,2,worst_replacement,2,0.9198804497718811,1000,0.10000000149011612,0.10000000149011612,0.09581924974918365,0.03,0.9866620898246765,0.013337910175323486,0.05950390174984932,0.08415121585130692,0.0500638373196125,,0.09935003519058228,0.0,0.0
22,1,2,worst_replacement,1,0.8254702091217041,1000,0.10000000149011612,0.10000000149011612,0.09034044295549393,0.03,0.9907929301261902,0.009207069873809814,0.06604503840208054,0.09340179711580276,0.05003832280635834,,0.15828734636306763,0.0,0.0
23,1,2,worst_replacement,1,0.8792009949684143,1000,0.10000000149011612,0.10000000149011612,0.09354312717914581,0.03,0.9874889254570007,0.012511074542999268,0.07052925229072571,0.09974343329668045,0.05322729051113129,,0.1266471892595291,0.0,0.0
24,1,2,worst_replacement,2,0.8500601649284363,1000,0.10000000149011612,0.10000000149011612,0.0918366014957428,0.03,0.9872954487800598,0.012704551219940186,0.07431590557098389,0.10509856790304184,0.05255648121237755,,0.1515168398618698,0.0,0.0
25,1,2,worst_replacement,2,0.7618287205696106,1000,0.10000000149011612,0.10000000149011612,0.0861821100115776,0.03,0.9955503344535828,0.004449665546417236,0.050250936299562454,0.07106555253267288,0.04763762280344963,,0.1858195662498474,0.0,0.0
26,1,2,worst_replacement,2,0.914972186088562,1000,0.10000000149011612,0.10000000149011612,0.09555065631866455,0.03,0.9820792078971863,0.01792079210281372,0.07576949149370193,0.1071542426943779,0.0531054362654686,,0.11296351253986359,0.0,0.0
27,1,2,worst_replacement,0,0.9999997615814209,1000,0.10000000149011612,0.10000000149011612,0.10000001639127731,0.03,0.9392706751823425,0.06072932481765747,0.06815517693758011,0.09638597816228867,0.04305713251233101,,0.0597105473279953,0.0,0.0
28,1,2,worst_replacement,1,0.7920433282852173,1000,0.10000000149011612,0.10000000149011612,0.08821279555559158,0.03,0.9933178424835205,0.006682157516479492,0.06331218779087067,0.08953696489334106,0.05178547278046608,,0.16833525896072388,0.0,0.0
29,1,2,worst_replacement,1,0.8808098435401917,1000,0.10000000149011612,0.10000000149011612,0.0936354249715805,0.03,0.989540159702301,0.010459840297698975,0.06233257055282593,0.08815155178308487,0.05338050797581673,,0.12020577490329742,5.960464477539063e-08,0.0
