sample_index,num_qubits,dimension,attack,ensemble,purity,shots,alpha_requested,alpha_effective,epsilon_physical_actual,epsilon_frequency,fidelity,infidelity,trace_distance,frobenius_distance,measurement_l2,target_fidelity,minimum_eigenvalue,trace_error,hermitian_error
0,3,8,targeted_replacement,1,0.25862324237823486,1000,0.10000000149011612,0.10000000149011612,0.09385795891284943,0.03,0.9043576717376709,0.0956423282623291,0.1991039365530014,0.16366176307201385,0.20184841752052307,0.1499878466129303,0.046053655445575714,0.0,0.0
1,3,8,targeted_replacement,0,0.9999996423721313,1000,0.10000000149011612,0.10000000149011612,0.09953224658966064,0.03,0.9467869997024536,0.05321300029754639,0.0810464471578598,0.09499526768922806,0.22520489990711212,0.034598350524902344,5.3478772315429524e-05,1.1920928955078125e-07,0.0
2,3,8,targeted_replacement,0,1.0000001192092896,1000,0.10000000149011612,0.10000000149011612,0.09542284905910492,0.03,0.9515039324760437,0.0484960675239563,0.08503875136375427,0.10202168673276901,0.24907715618610382,0.10318434238433838,7.759977597743273e-05,1.1920928955078125e-07,0.0
3,3,8,targeted_replacement,2,0.2815905511379242,1000,0.10000000149011612,0.10000000149011612,0.08934225142002106,0.03,0.9877400398254395,0.012259960174560547,0.08682520687580109,0.0922304093837738,0.1725732386112213,0.1769120842218399,0.05900720879435539,0.0,0.0
4,3,8,targeted_replacement,1,0.2656777501106262,1000,0.10000000149011612,0.10000000149011612,0.08998984098434448,0.03,0.922231912612915,0.07776808738708496,0.18570473790168762,0.1583743691444397,0.21797432005405426,0.18859001994132996,0.043801866471767426,0.0,0.0
5,3,8,targeted_replacement,0,0.9999999403953552,1000,0.10000000149011612,0.10000000149011612,0.08737023919820786,0.03,0.9575288891792297,0.042471110820770264,0.08956723660230637,0.10756336152553558,0.20481029152870178,0.2809641659259796,0.0004130242741666734,0.0,0.0
6,3,8,targeted_replacement,0,0.9999997615814209,1000,0.10000000149011612,0.10000000149011612,0.09850780665874481,0.03,0.9615230560302734,0.03847694396972656,0.08157606422901154,0.09853415191173553,0.2502739131450653,0.05459849163889885,0.0007604649290442467,5.960464477539063e-08,0.0
7,3,8,targeted_replacement,1,0.2749564051628113,1000,0.10000000149011612,0.10000000149011612,0.09475605934858322,0.03,0.8941312432289124,0.10586875677108765,0.20004816353321075,0.17346784472465515,0.23595352470874786,0.1545618623495102,0.03851236402988434,1.1920928955078125e-07,0.0
8,3,8,targeted_replacement,1,0.26703351736068726,1000,0.10000000149011612,0.10000000149011612,0.0875193178653717,0.03,0.9166935682296753,0.08330643177032471,0.19889676570892334,0.16432379186153412,0.19064688682556152,0.20628921687602997,0.042361870408058167,0.0,0.0
9,3,8,targeted_replacement,0,1.000000238418579,1000,0.10000000149011612,0.10000000149011612,0.09499739110469818,0.03,0.959847092628479,0.040152907371520996,0.0750470757484436,0.08968554437160492,0.22722850739955902,0.12790988385677338,3.6139481380814686e-05,0.0,0.0
