sample_index,num_qubits,dimension,attack,ensemble,purity,shots,alpha_requested,alpha_effective,epsilon_physical_actual,epsilon_frequency,fidelity,infidelity,trace_distance,frobenius_distance,measurement_l2,target_fidelity,minimum_eigenvalue,trace_error,hermitian_error
0,3,8,worst_replacement,1,0.25862324237823486,1000,0.10000000149011612,0.10000000149011612,0.09977145493030548,0.03,0.8853248357772827,0.11467516422271729,0.20140090584754944,0.16877257823944092,0.19601525366306305,,0.0512566864490509,0.0,0.0
1,3,8,worst_replacement,0,0.9999996423721313,1000,0.10000000149011612,0.10000000149011612,0.10000002384185791,0.03,0.9479445815086365,0.052055418491363525,0.06881490349769592,0.07902449369430542,0.23381395637989044,,1.7760265109245665e-05,0.0,0.0
2,3,8,worst_replacement,0,1.0000001192092896,1000,0.10000000149011612,0.10000000149011612,0.10000006854534149,0.03,0.9325671195983887,0.06743288040161133,0.107242651283741,0.1292068362236023,0.20182974636554718,,0.0003782172570936382,1.1920928955078125e-07,0.0
3,3,8,worst_replacement,2,0.2815905511379242,1000,0.10000000149011612,0.10000000149011612,0.0927879810333252,0.03,0.9849335551261902,0.015066444873809814,0.09113432466983795,0.09839203208684921,0.16698621213436127,,0.05710870772600174,0.0,0.0
4,3,8,worst_replacement,1,0.2656777501106262,1000,0.10000000149011612,0.10000000149011612,0.09948369860649109,0.03,0.9028207063674927,0.09717929363250732,0.18417426943778992,0.15850208699703217,0.1899927407503128,,0.04847211018204689,0.0,0.0
5,3,8,worst_replacement,0,0.9999999403953552,1000,0.10000000149011612,0.10000000149011612,0.10000002384185791,0.03,0.9574214220046997,0.04257857799530029,0.06533338129520416,0.0746053159236908,0.22857829928398132,,0.0004964949912391603,5.960464477539063e-08,0.0
6,3,8,worst_replacement,0,0.9999997615814209,1000,0.10000000149011612,0.10000000149011612,0.09999996423721313,0.03,0.9580803513526917,0.04191964864730835,0.07022043317556381,0.07983904331922531,0.23534882068634033,,0.0014114105142652988,5.960464477539063e-08,0.0
7,3,8,worst_replacement,1,0.2749564051628113,1000,0.10000000149011612,0.10000000149011612,0.09999318420886993,0.03,0.8719757199287415,0.12802428007125854,0.19828251004219055,0.1727713644504547,0.212508887052536,,0.03881612420082092,0.0,0.0
8,3,8,worst_replacement,1,0.26703351736068726,1000,0.10000000149011612,0.10000000149011612,0.09935366362333298,0.03,0.9153433442115784,0.08465665578842163,0.18865205347537994,0.15300004184246063,0.18714487552642822,,0.041780728846788406,0.0,0.0
9,3,8,worst_replacement,0,1.000000238418579,1000,0.10000000149011612,0.10000000149011612,0.10000006854534149,0.03,0.9593048691749573,0.040695130825042725,0.0769289880990982,0.08907950669527054,0.2385973185300827,,9.222617518389598e-05,0.0,0.0
10,3,8,worst_replacement,0,1.0,1000,0.10000000149011612,0.10000000149011612,0.1000000536441803,0.03,0.9582664966583252,0.041733503341674805,0.07210446149110794,0.08476120978593826,0.24410571157932281,,0.00011832755990326405,0.0,0.0
11,3,8,worst_replacement,1,0.21128617227077484,1000,0.10000000149011612,0.10000000149011612,0.09984752535820007,0.03,0.9073567986488342,0.09264320135116577,0.16828611493110657,0.14915351569652557,0.16558420658111572,,0.044512953609228134,0.0,0.0
12,3,8,worst_replacement,1,0.23679715394973755,1000,0.10000000149011612,0.10000000149011612,0.09939682483673096,0.03,0.914149284362793,0.08585071563720703,0.18705013394355774,0.15822573006153107,0.17397448420524597,,0.044766731560230255,0.0,0.0
13,3,8,worst_replacement,1,0.20206914842128754,1000,0.10000000149011612,0.10000000149011612,0.09991104155778885,0.03,0.8941296339035034,0.10587036609649658,0.17245884239673615,0.14771094918251038,0.16869060695171356,,0.05200042203068733,0.0,0.0
14,3,8,worst_replacement,0,0.9999999403953552,1000,0.10000000149011612,0.10000000149011612,0.10000003129243851,0.03,0.933316707611084,0.06668329238891602,0.0809546709060669,0.09675636142492294,0.2247149646282196,,0.00012837181566283107,1.1920928955078125e-07,0.0
15,3,8,worst_replacement,1,0.28022125363349915,1000,0.10000000149011612,0.10000000149011612,0.09950446337461472,0.03,0.9016274809837341,0.09837251901626587,0.2030273675918579,0.16039139032363892,0.18407152593135834,,0.038459379225969315,0.0,0.0
16,3,8,worst_replacement,2,0.3728785514831543,1000,0.10000000149011612,0.10000000149011612,0.09415312111377716,0.03,0.9829166531562805,0.017083346843719482,0.10686027258634567,0.1089666485786438,0.1762068271636963,,0.044187337160110474,0.0,0.0
17,3,8,worst_replacement,1,0.23637418448925018,1000,0.10000000149011612,0.10000000149011612,0.09978201240301132,0.03,0.8962600231170654,0.10373997688293457,0.17592120170593262,0.1501704603433609,0.1716085821390152,,0.03781863674521446,0.0,0.0
18,3,8,worst_replacement,1,0.23288892209529877,1000,0.10000000149011612,0.10000000149011612,0.09979365766048431,0.03,0.9185850620269775,0.08141493797302246,0.1651286780834198,0.13601121306419373,0.17009273171424866,,0.04834802821278572,1.1920928955078125e-07,0.0
19,3,8,worst_replacement,0,1.0,1000,0.10000000149011612,0.10000000149011612,0.10000000894069672,0.03,0.9499918222427368,0.050008177757263184,0.08600945770740509,0.10362657904624939,0.23306269943714142,,0.00087591796182096,0.0,0.0
20,3,8,worst_replacement,0,1.0,1000,0.10000000149011612,0.10000000149011612,0.10000007599592209,0.03,0.9303500652313232,0.06964993476867676,0.0857599526643753,0.09420113265514374,0.20019762217998505,,0.004090047441422939,0.0,0.0
21,3,8,worst_replacement,2,0.451974481344223,1000,0.10000000149011612,0.10000000149011612,0.09514126181602478,0.03,0.9806532263755798,0.019346773624420166,0.10609601438045502,0.11434414982795715,0.1767621636390686,,0.03752359747886658,0.0,0.0
22,3,8,worst_replacement,1,0.2263711541891098,1000,0.10000000149011612,0.10000000149011612,0.09991252422332764,0.03,0.8993031978607178,0.10069680213928223,0.15952232480049133,0.14118404686450958,0.17551174759864807,,0.03636034578084946,1.1920928955078125e-07,0.0
23,3,8,worst_replacement,1,0.24705025553703308,1000,0.10000000149011612,0.10000000149011612,0.09999202936887741,0.03,0.8832765221595764,0.11672347784042358,0.171697735786438,0.14928124845027924,0.17377173900604248,,0.03740609437227249,0.0,0.0
24,3,8,worst_replacement,2,0.6328912377357483,1000,0.10000000149011612,0.10000000149011612,0.09702339768409729,0.03,0.9836001992225647,0.016399800777435303,0.10011433064937592,0.10789471864700317,0.19644023478031158,,0.022923225536942482,1.1920928955078125e-07,0.0
