sample_index,num_qubits,dimension,attack,ensemble,purity,shots,alpha_requested,alpha_effective,epsilon_physical_actual,epsilon_frequency,fidelity,infidelity,trace_distance,frobenius_distance,measurement_l2,target_fidelity,minimum_eigenvalue,trace_error,hermitian_error
0,2,4,frequency_pgd,1,0.5535491108894348,1000,0.0,0.0,0.0,0.03,0.9358882904052734,0.06411170959472656,0.17277181148529053,0.22554658353328705,0.15824705362319946,,0.02609541267156601,0.0,0.0
1,2,4,frequency_pgd,0,1.0000001192092896,1000,0.0,0.0,0.0,0.03,0.9636467695236206,0.036353230476379395,0.15024793148040771,0.2052743136882782,0.08801024407148361,,0.0027603781782090664,0.0,0.0
2,2,4,frequency_pgd,0,1.0000001192092896,1000,0.0,0.0,0.0,0.03,0.9856902956962585,0.014309704303741455,0.09245142340660095,0.1272268444299698,0.11565405130386353,,0.0005724289803765714,0.0,0.0
3,2,4,frequency_pgd,2,0.29078397154808044,1000,0.0,0.0,0.0,0.03,0.9711721539497375,0.02882784605026245,0.15865188837051392,0.18850751221179962,0.07302761822938919,,0.11829424649477005,0.0,0.0
4,2,4,frequency_pgd,1,0.5204390287399292,1000,0.0,0.0,0.0,0.03,0.9439384341239929,0.05606156587600708,0.1669500768184662,0.21624407172203064,0.2394353151321411,,0.02646520733833313,0.0,0.0
5,2,4,frequency_pgd,0,0.9999997019767761,1000,0.0,0.0,0.0,0.03,0.9613110423088074,0.03868895769119263,0.13888633251190186,0.18622951209545135,0.10317236185073853,,0.002882374683395028,0.0,0.0
6,2,4,frequency_pgd,0,1.0,1000,0.0,0.0,0.0,0.03,0.9516894221305847,0.04831057786941528,0.13073033094406128,0.17995180189609528,0.12135762721300125,,0.00026971742045134306,0.0,0.0
7,2,4,frequency_pgd,1,0.3658487796783447,1000,0.0,0.0,0.0,0.03,0.9356580972671509,0.06434190273284912,0.1892041265964508,0.21733012795448303,0.10201899707317352,,0.04897399619221687,0.0,0.0
8,2,4,frequency_pgd,1,0.6925771832466125,1000,0.0,0.0,0.0,0.03,0.9194638133049011,0.08053618669509888,0.17931759357452393,0.24000686407089233,0.16393549740314484,,0.0032377690076828003,5.960464477539063e-08,0.0
9,2,4,frequency_pgd,0,1.0,1000,0.0,0.0,0.0,0.03,0.9512165188789368,0.04878348112106323,0.1462855488061905,0.19253040850162506,0.1002117395401001,,0.0006278263754211366,5.960464477539063e-08,0.0
10,2,4,frequency_pgd,0,0.9999997019767761,1000,0.0,0.0,0.0,0.03,0.9685879349708557,0.03141206502914429,0.11340142786502838,0.1522398293018341,0.10590342432260513,,0.001879373798146844,0.0,0.0
11,2,4,frequency_pgd,1,0.6149917244911194,1000,0.0,0.0,0.0,0.03,0.9045487642288208,0.0954512357711792,0.22155436873435974,0.2739706337451935,0.1649245321750641,,0.009408759884536266,0.0,0.0
12,2,4,frequency_pgd,1,0.4293728768825531,1000,0.0,0.0,0.0,0.03,0.9692307114601135,0.030769288539886475,0.16186323761940002,0.18543562293052673,0.10018807649612427,,0.026496611535549164,1.1920928955078125e-07,0.0
13,2,4,frequency_pgd,1,0.5126274824142456,1000,0.0,0.0,0.0,0.03,0.9424846768379211,0.05751532316207886,0.1604115068912506,0.20114853978157043,0.10386617481708527,,0.0314503088593483,1.1920928955078125e-07,0.0
14,2,4,frequency_pgd,0,0.9999997615814209,1000,0.0,0.0,0.0,0.03,0.9812608361244202,0.018739163875579834,0.09984458982944489,0.13538111746311188,0.11626312881708145,,0.0005285859806463122,0.0,0.0
15,2,4,frequency_pgd,1,0.43698692321777344,1000,0.0,0.0,0.0,0.03,0.9507417678833008,0.04925823211669922,0.1715649664402008,0.19682617485523224,0.1112927719950676,,0.03178831562399864,0.0,0.0
