sample_index,num_qubits,dimension,attack,ensemble,purity,shots,alpha_requested,alpha_effective,epsilon_physical_actual,epsilon_frequency,fidelity,infidelity,trace_distance,frobenius_distance,measurement_l2,target_fidelity,minimum_eigenvalue,trace_error,hermitian_error
0,2,4,random_replacement,1,0.5535491108894348,1000,0.10000000149011612,0.10000000149011612,0.08664602786302567,0.03,0.9277863502502441,0.07221364974975586,0.13483881950378418,0.15126189589500427,0.0700758770108223,,0.06827276945114136,0.0,0.0
1,2,4,random_replacement,0,1.0000001192092896,1000,0.10000000149011612,0.10000000149011612,0.08464600145816803,0.03,0.96621173620224,0.03378826379776001,0.06906332075595856,0.08623724430799484,0.11924973875284195,,0.004948009736835957,0.0,0.0
2,2,4,random_replacement,0,1.0000001192092896,1000,0.10000000149011612,0.10000000149011612,0.07139487564563751,0.03,0.9769361615180969,0.023063838481903076,0.04050401598215103,0.0488889180123806,0.1053849533200264,,0.003645680844783783,0.0,0.0
3,2,4,random_replacement,2,0.29078397154808044,1000,0.10000000149011612,0.10000000149011612,0.0799655020236969,0.03,0.9884384870529175,0.01156151294708252,0.08903515338897705,0.10244570672512054,0.04626058414578438,,0.14071650803089142,0.0,0.0
4,2,4,random_replacement,1,0.5204390287399292,1000,0.10000000149011612,0.10000000149011612,0.06249953806400299,0.03,0.9421282410621643,0.05787175893783569,0.11975225061178207,0.12817339599132538,0.10193770378828049,,0.062118805944919586,0.0,0.0
5,2,4,random_replacement,0,0.9999997019767761,1000,0.10000000149011612,0.10000000149011612,0.06682075560092926,0.03,0.964681088924408,0.03531891107559204,0.05849157273769379,0.07110171765089035,0.0765475332736969,,0.006541357841342688,0.0,0.0
6,2,4,random_replacement,0,1.0,1000,0.10000000149011612,0.10000000149011612,0.09606754779815674,0.03,0.9548384547233582,0.045161545276641846,0.0725429356098175,0.08855114877223969,0.1307293325662613,,0.0035785434301942587,5.960464477539063e-08,0.0
7,2,4,random_replacement,1,0.3658487796783447,1000,0.10000000149011612,0.10000000149011612,0.05036184936761856,0.03,0.9559075236320496,0.04409247636795044,0.09643108397722244,0.10465583205223083,0.09949387609958649,,0.06407603621482849,0.0,0.0
8,2,4,random_replacement,1,0.6925771832466125,1000,0.10000000149011612,0.10000000149011612,0.08404551446437836,0.03,0.9604882597923279,0.03951174020767212,0.10895274579524994,0.1208648607134819,0.0781850591301918,,0.047196388244628906,1.1920928955078125e-07,0.0
9,2,4,random_replacement,0,1.0,1000,0.10000000149011612,0.10000000149011612,0.09520822018384933,0.03,0.9410908818244934,0.05890911817550659,0.06994397938251495,0.08389770239591599,0.09222152829170227,,0.00433301879093051,5.960464477539063e-08,0.0
10,2,4,random_replacement,0,0.9999997019767761,1000,0.10000000149011612,0.10000000149011612,0.09006986767053604,0.03,0.9502934813499451,0.04970651865005493,0.060456760227680206,0.07185711711645126,0.08726231008768082,,0.00806634221225977,0.0,0.0
11,2,4,random_replacement,1,0.6149917244911194,1000,0.10000000149011612,0.10000000149011612,0.08786598592996597,0.03,0.9459827542304993,0.05401724576950073,0.10676813870668411,0.1219077780842781,0.08291874080896378,,0.06003012880682945,0.0,0.0
12,2,4,random_replacement,1,0.4293728768825531,1000,0.10000000149011612,0.10000000149011612,0.07423332333564758,0.03,0.9825650453567505,0.01743495464324951,0.08916440606117249,0.10096234083175659,0.07237596064805984,,0.04192885383963585,1.1920928955078125e-07,0.0
13,2,4,random_replacement,1,0.5126274824142456,1000,0.10000000149011612,0.10000000149011612,0.09290756285190582,0.03,0.9575191736221313,0.04248082637786865,0.12080986797809601,0.13284751772880554,0.09008476883172989,,0.05139913037419319,0.0,0.0
14,2,4,random_replacement,0,0.9999997615814209,1000,0.10000000149011612,0.10000000149011612,0.0811767578125,0.03,0.9740350842475891,0.02596491575241089,0.06711703538894653,0.08558715134859085,0.114998459815979,,0.004238353110849857,0.0,0.0
15,2,4,random_replacement,1,0.43698692321777344,1000,0.10000000149011612,0.10000000149011612,0.06242768466472626,0.03,0.9674117565155029,0.03258824348449707,0.08852246403694153,0.09784427285194397,0.087677963078022,,0.04474814236164093,1.1920928955078125e-07,0.0
16,2,4,random_replacement,2,0.31428346037864685,1000,0.10000000149011612,0.10000000149011612,0.04373839870095253,0.03,0.9901818037033081,0.009818196296691895,0.08639185130596161,0.09815356880426407,0.05726080760359764,,0.1419203281402588,5.960464477539063e-08,0.0
17,2,4,random_replacement,1,0.48709070682525635,1000,0.10000000149011612,0.10000000149011612,0.051324017345905304,0.03,0.977872908115387,0.022127091884613037,0.09277961403131485,0.09651613235473633,0.07225064188241959,,0.05864332243800163,0.0,0.0
18,2,4,random_replacement,1,0.5253465175628662,1000,0.10000000149011612,0.10000000149011612,0.08761245757341385,0.03,0.9756514430046082,0.024348556995391846,0.09710536897182465,0.10735767334699631,0.07806961983442307,,0.04844821244478226,0.0,0.0
19,2,4,random_replacement,0,1.0000003576278687,1000,0.10000000149011612,0.10000000149011612,0.09602298587560654,0.03,0.9510228037834167,0.04897719621658325,0.06714020669460297,0.08405353128910065,0.09693189710378647,,0.002924863249063492,0.0,0.0
20,2,4,random_replacement,0,1.0000003576278687,1000,0.10000000149011612,0.10000000149011612,0.07830925285816193,0.03,0.9781681895256042,0.021831810474395752,0.04514168202877045,0.055335938930511475,0.12340474128723145,,0.003447982482612133,5.960464477539063e-08,0.0
21,2,4,random_replacement,2,0.7170001864433289,1000,0.10000000149011612,0.10000000149011612,0.06428718566894531,0.03,0.996208906173706,0.0037910938262939453,0.03477686643600464,0.04272538796067238,0.11424686759710312,,0.037208959460258484,0.0,0.0
22,2,4,random_replacement,1,0.40432852506637573,1000,0.10000000149011612,0.10000000149011612,0.06147511303424835,0.03,0.9790074825286865,0.020992517471313477,0.10481253266334534,0.11146388947963715,0.04877570644021034,,0.057703349739313126,0.0,0.0
23,2,4,random_replacement,1,0.4604330360889435,1000,0.10000000149011612,0.10000000149011612,0.07343128323554993,0.03,0.981277346611023,0.01872265338897705,0.1067623421549797,0.11486446857452393,0.06931304931640625,,0.07337674498558044,0.0,0.0
24,2,4,random_replacement,2,0.8016173243522644,1000,0.10000000149011612,0.10000000149011612,0.05357972905039787,0.03,0.9961026906967163,0.0038973093032836914,0.048467300832271576,0.059807274490594864,0.13398377597332,,0.021739333868026733,1.1920928955078125e-07,0.0
25,2,4,random_replacement,2,0.3467865586280823,1000,0.10000000149011612,0.10000000149011612,0.07323198020458221,0.03,0.9906092882156372,0.009390711784362793,0.08101482689380646,0.09857651591300964,0.0657128244638443,,0.12073452025651932,0.0,0.0
26,2,4,random_replacement,2,0.6752431392669678,1000,0.10000000149011612,0.10000000149011612,0.0884498879313469,0.03,0.9890111088752747,0.010988891124725342,0.0758209377527237,0.0979561135172844,0.07032383233308792,,0.058662861585617065,1.1920928955078125e-07,0.0
27,2,4,random_replacement,0,0.9999995827674866,1000,0.10000000149011612,0.10000000149011612,0.0981508195400238,0.03,0.9396358132362366,0.06036418676376343,0.07365375757217407,0.0877537801861763,0.1381126344203949,,0.012912848964333534,0.0,0.0
28,2,4,random_replacement,1,0.4113939106464386,1000,0.10000000149011612,0.10000000149011612,0.08492060750722885,0.03,0.9849206805229187,0.015079319477081299,0.0965299978852272,0.10283904522657394,0.0633251890540123,,0.06605395674705505,0.0,0.0
29,2,4,random_replacement,1,0.544903576374054,1000,0.10000000149011612,0.10000000149011612,0.08156761527061462,0.03,0.9640500545501709,0.0359499454498291,0.1109694316983223,0.12926757335662842,0.10645107179880142,,0.03427441790699959,0.0,0.0
30,2,4,random_replacement,1,0.40012678503990173,1000,0.10000000149011612,0.10000000149011612,0.058004289865493774,0.03,0.970177948474884,0.029822051525115967,0.09253039211034775,0.10508029907941818,0.07542970776557922,,0.07010754197835922,0.0,0.0
31,2,4,random_replacement,2,0.41077619791030884,1000,0.10000000149011612,0.10000000149011612,0.08147825300693512,0.03,0.9924824237823486,0.007517576217651367,0.06351469457149506,0.08192434906959534,0.05638867989182472,,0.10830533504486084,0.0,0.0
