sample_index,num_qubits,dimension,attack,ensemble,purity,shots,alpha_requested,alpha_effective,epsilon_physical_actual,epsilon_frequency,fidelity,infidelity,trace_distance,frobenius_distance,measurement_l2,target_fidelity,minimum_eigenvalue,trace_error,hermitian_error
0,2,4,targeted_replacement,1,0.5535491108894348,1000,0.10000000149011612,0.10000000149011612,0.07376611977815628,0.03,0.9627077579498291,0.0372922420501709,0.1081569716334343,0.11830247193574905,0.10561173409223557,0.4028450846672058,0.03922076150774956,0.0,0.0
1,2,4,targeted_replacement,0,1.0000001192092896,1000,0.10000000149011612,0.10000000149011612,0.08820614218711853,0.03,0.9623379707336426,0.03766202926635742,0.08774499595165253,0.11331169307231903,0.13347342610359192,0.285165011882782,0.0035969563759863377,0.0,0.0
2,2,4,targeted_replacement,0,1.0000001192092896,1000,0.10000000149011612,0.10000000149011612,0.06836672127246857,0.03,0.983822762966156,0.016177237033843994,0.07703697681427002,0.1052107959985733,0.11709527671337128,0.5919400453567505,0.0003856485418509692,0.0,0.0
3,2,4,targeted_replacement,2,0.29078397154808044,1000,0.10000000149011612,0.10000000149011612,0.07050494849681854,0.03,0.9908044338226318,0.009195566177368164,0.08227987587451935,0.10115492343902588,0.051306020468473434,0.38484862446784973,0.1559268683195114,0.0,0.0
4,2,4,targeted_replacement,1,0.5204390287399292,1000,0.10000000149011612,0.10000000149011612,0.08465425670146942,0.03,0.9453050494194031,0.054694950580596924,0.1183614581823349,0.12491916865110397,0.11412809789180756,0.21902932226657867,0.06069091334939003,0.0,0.0
5,2,4,targeted_replacement,0,0.9999997019767761,1000,0.10000000149011612,0.10000000149011612,0.080783411860466,0.03,0.9824323654174805,0.01756763458251953,0.06331013143062592,0.08363474160432816,0.11326272785663605,0.3937288820743561,0.002013959689065814,1.1920928955078125e-07,0.0
6,2,4,targeted_replacement,0,1.0,1000,0.10000000149011612,0.10000000149011612,0.084693044424057,0.03,0.973323404788971,0.026676595211029053,0.06557648628950119,0.08273450285196304,0.12021941691637039,0.3227098286151886,0.0005896510556340218,0.0,0.0
7,2,4,targeted_replacement,1,0.3658487796783447,1000,0.10000000149011612,0.10000000149011612,0.06717044860124588,0.03,0.9505215883255005,0.04947841167449951,0.1366705596446991,0.13751956820487976,0.10468067228794098,0.4091278612613678,0.06283581256866455,0.0,0.0
8,2,4,targeted_replacement,1,0.6925771832466125,1000,0.10000000149011612,0.10000000149011612,0.08834157884120941,0.03,0.9558495879173279,0.04415041208267212,0.12076659500598907,0.14130118489265442,0.10224971175193787,0.2557222247123718,0.024491675198078156,0.0,0.0
9,2,4,targeted_replacement,0,1.0,1000,0.10000000149011612,0.10000000149011612,0.08099369704723358,0.03,0.9612571597099304,0.03874284029006958,0.07232367992401123,0.09275397658348083,0.1083669438958168,0.38628894090652466,0.0006237698835320771,0.0,0.0
10,2,4,targeted_replacement,0,0.9999997019767761,1000,0.10000000149011612,0.10000000149011612,0.06454900652170181,0.03,0.9710766077041626,0.028923392295837402,0.08197389543056488,0.10751079022884369,0.0793607085943222,0.6304519772529602,0.0011904204729944468,0.0,0.0
11,2,4,targeted_replacement,1,0.6149917244911194,1000,0.10000000149011612,0.10000000149011612,0.05626075714826584,0.03,0.9521973729133606,0.047802627086639404,0.10639137029647827,0.12093114852905273,0.10248992592096329,0.6185994744300842,0.04833366349339485,1.1920928955078125e-07,0.0
12,2,4,targeted_replacement,1,0.4293728768825531,1000,0.10000000149011612,0.10000000149011612,0.0708305686712265,0.03,0.9723266959190369,0.027673304080963135,0.10727505385875702,0.12641392648220062,0.08124743402004242,0.4300447702407837,0.056440044194459915,1.1920928955078125e-07,0.0
13,2,4,targeted_replacement,1,0.5126274824142456,1000,0.10000000149011612,0.10000000149011612,0.09211411327123642,0.03,0.9555761218070984,0.04442387819290161,0.12360024452209473,0.1321938931941986,0.08313290774822235,0.18377134203910828,0.04196762666106224,5.960464477539063e-08,0.0
14,2,4,targeted_replacement,0,0.9999997615814209,1000,0.10000000149011612,0.10000000149011612,0.0753454938530922,0.03,0.9762062430381775,0.02379375696182251,0.08946257829666138,0.12173134833574295,0.1356974095106125,0.5017755031585693,0.0007688333280384541,1.1920928955078125e-07,0.0
15,2,4,targeted_replacement,1,0.43698692321777344,1000,0.10000000149011612,0.10000000149011612,0.07763590663671494,0.03,0.9639243483543396,0.0360756516456604,0.10859870910644531,0.11001577973365784,0.10311383754014969,0.31271523237228394,0.043247807770967484,0.0,0.0
16,2,4,targeted_replacement,2,0.31428346037864685,1000,0.10000000149011612,0.10000000149011612,0.06910102814435959,0.03,0.9916775226593018,0.008322477340698242,0.07860827445983887,0.0978521853685379,0.04991655796766281,0.4016174077987671,0.1487831324338913,5.960464477539063e-08,0.0
17,2,4,targeted_replacement,1,0.48709070682525635,1000,0.10000000149011612,0.10000000149011612,0.07529474794864655,0.03,0.9780240058898926,0.021975994110107422,0.08038530498743057,0.09512179344892502,0.08420585095882416,0.31299179792404175,0.058300793170928955,0.0,0.0
18,2,4,targeted_replacement,1,0.5253465175628662,1000,0.10000000149011612,0.10000000149011612,0.06914979219436646,0.03,0.976714551448822,0.02328544855117798,0.0975479930639267,0.1049276739358902,0.08373644202947617,0.4071756899356842,0.06558795273303986,1.1920928955078125e-07,0.0
19,2,4,targeted_replacement,0,1.0000003576278687,1000,0.10000000149011612,0.10000000149011612,0.08693293482065201,0.03,0.9606316089630127,0.039368391036987305,0.07352884858846664,0.097964808344841,0.13681663572788239,0.2912704050540924,0.0005585324834100902,0.0,0.0
20,2,4,targeted_replacement,0,1.0000003576278687,1000,0.10000000149011612,0.10000000149011612,0.09776327013969421,0.03,0.9717829823493958,0.028217017650604248,0.05057549476623535,0.06434560567140579,0.15937377512454987,0.07269692420959473,0.0022813512478023767,0.0,0.0
21,2,4,targeted_replacement,2,0.7170001864433289,1000,0.10000000149011612,0.10000000149011612,0.08159902691841125,0.03,0.9932220578193665,0.006777942180633545,0.07479488849639893,0.10011817514896393,0.12868496775627136,0.33725523948669434,0.04428631812334061,0.0,0.0
