sample_index,num_qubits,dimension,attack,ensemble,purity,shots,alpha_requested,alpha_effective,epsilon_physical_actual,epsilon_frequency,fidelity,infidelity,trace_distance,frobenius_distance,measurement_l2,target_fidelity,minimum_eigenvalue,trace_error,hermitian_error
0,2,4,worst_replacement,1,0.5535491108894348,1000,0.10000000149011612,0.10000000149011612,0.09977829456329346,0.03,0.9266749620437622,0.07332503795623779,0.10934482514858246,0.12403926998376846,0.09242913126945496,,0.06784390658140182,1.1920928955078125e-07,0.0
1,2,4,worst_replacement,0,1.0000001192092896,1000,0.10000000149011612,0.10000000149011612,0.10000002384185791,0.03,0.9644760489463806,0.035523951053619385,0.06367149949073792,0.07692976295948029,0.1419634073972702,,0.0035995610523968935,5.960464477539063e-08,0.0
2,2,4,worst_replacement,0,1.0000001192092896,1000,0.10000000149011612,0.10000000149011612,0.1000000536441803,0.03,0.9786136746406555,0.021386325359344482,0.04196816682815552,0.05096057429909706,0.16786544024944305,,0.0017325314693152905,0.0,0.0
3,2,4,worst_replacement,2,0.29078397154808044,1000,0.10000000149011612,0.10000000149011612,0.08082982897758484,0.03,0.9877515435218811,0.012248456478118896,0.09866462647914886,0.11253252625465393,0.04773178696632385,,0.15622656047344208,1.1920928955078125e-07,0.0
4,2,4,worst_replacement,1,0.5204390287399292,1000,0.10000000149011612,0.10000000149011612,0.09977124631404877,0.03,0.9158942103385925,0.08410578966140747,0.14074355363845825,0.14950130879878998,0.10295319557189941,,0.06229981407523155,0.0,0.0
5,2,4,worst_replacement,0,0.9999997019767761,1000,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.03,0.9662458300590515,0.033754169940948486,0.05134875327348709,0.06488482654094696,0.1509714126586914,,0.001604536548256874,5.960464477539063e-08,0.0
6,2,4,worst_replacement,0,1.0,1000,0.10000000149011612,0.10000000149011612,0.10000003129243851,0.03,0.9637734889984131,0.036226511001586914,0.059189438819885254,0.07286308705806732,0.1543101817369461,,0.0014780682977288961,0.0,0.0
7,2,4,worst_replacement,1,0.3658487796783447,1000,0.10000000149011612,0.10000000149011612,0.09961739182472229,0.03,0.9208282232284546,0.07917177677154541,0.11344093084335327,0.1374817192554474,0.08288425952196121,,0.1100040003657341,0.0,0.0
8,2,4,worst_replacement,1,0.6925771832466125,1000,0.10000000149011612,0.10000000149011612,0.09900800883769989,0.03,0.9520173072814941,0.04798269271850586,0.10770265758037567,0.11611279100179672,0.10022667050361633,,0.04540376365184784,5.960464477539063e-08,0.0
9,2,4,worst_replacement,0,1.0,1000,0.10000000149011612,0.10000000149011612,0.1000000461935997,0.03,0.9413608908653259,0.05863910913467407,0.08649566769599915,0.10373398661613464,0.15501457452774048,,0.0037539361510425806,0.0,0.0
10,2,4,worst_replacement,0,0.9999997019767761,1000,0.10000000149011612,0.10000000149011612,0.09999999403953552,0.03,0.92628413438797,0.07371586561203003,0.08580204844474792,0.10441501438617706,0.12647570669651031,,0.007899090647697449,1.1920928955078125e-07,0.0
11,2,4,worst_replacement,1,0.6149917244911194,1000,0.10000000149011612,0.10000000149011612,0.0997130274772644,0.03,0.9231550693511963,0.07684493064880371,0.10580657422542572,0.12781034409999847,0.07287249714136124,,0.06476259976625443,0.0,0.0
12,2,4,worst_replacement,1,0.4293728768825531,1000,0.10000000149011612,0.10000000149011612,0.09857137501239777,0.03,0.9629051089286804,0.03709489107131958,0.08412565290927887,0.10436955094337463,0.06517231464385986,,0.08744477480649948,0.0,0.0
13,2,4,worst_replacement,1,0.5126274824142456,1000,0.10000000149011612,0.10000000149011612,0.09913966804742813,0.03,0.9414694309234619,0.058530569076538086,0.1271057277917862,0.13666392862796783,0.09380117058753967,,0.05944347754120827,0.0,0.0
14,2,4,worst_replacement,0,0.9999997615814209,1000,0.10000000149011612,0.10000000149011612,0.10000003129243851,0.03,0.9714646935462952,0.028535306453704834,0.046079881489276886,0.055919744074344635,0.18488214910030365,,0.003536594333127141,1.1920928955078125e-07,0.0
15,2,4,worst_replacement,1,0.43698692321777344,1000,0.10000000149011612,0.10000000149011612,0.09973855316638947,0.03,0.9249335527420044,0.0750664472579956,0.10351112484931946,0.12891533970832825,0.06154763326048851,,0.0854966789484024,1.1920928955078125e-07,0.0
16,2,4,worst_replacement,2,0.31428346037864685,1000,0.10000000149011612,0.10000000149011612,0.08231914043426514,0.03,0.9864059686660767,0.01359403133392334,0.0909993052482605,0.109849713742733,0.07743393629789352,,0.1336253136396408,0.0,0.0
17,2,4,worst_replacement,1,0.48709070682525635,1000,0.10000000149011612,0.10000000149011612,0.09843477606773376,0.03,0.9553139209747314,0.044686079025268555,0.10505060106515884,0.12323462218046188,0.07618439942598343,,0.06433207541704178,1.1920928955078125e-07,0.0
18,2,4,worst_replacement,1,0.5253465175628662,1000,0.10000000149011612,0.10000000149011612,0.09732218086719513,0.03,0.9576979279518127,0.042302072048187256,0.13074606657028198,0.14345499873161316,0.08908186852931976,,0.06822501868009567,0.0,0.0
19,2,4,worst_replacement,0,1.0000003576278687,1000,0.10000000149011612,0.10000000149011612,0.10000006854534149,0.03,0.9365466833114624,0.0634533166885376,0.06781978905200958,0.0903380811214447,0.1084982231259346,,0.0017767577664926648,0.0,0.0
20,2,4,worst_replacement,0,1.0000003576278687,1000,0.10000000149011612,0.10000000149011612,0.10000000894069672,0.03,0.9691726565361023,0.030827343463897705,0.05003131926059723,0.06396440416574478,0.14422118663787842,,0.0027448053006082773,0.0,0.0
21,2,4,worst_replacement,2,0.7170001864433289,1000,0.10000000149011612,0.10000000149011612,0.09472731500864029,0.03,0.9763095378875732,0.023690462112426758,0.10270138829946518,0.1362459361553192,0.08723072707653046,,0.04765111207962036,0.0,0.0
22,2,4,worst_replacement,1,0.40432852506637573,1000,0.10000000149011612,0.10000000149011612,0.09785840660333633,0.03,0.9577913284301758,0.04220867156982422,0.11169961094856262,0.12801647186279297,0.06448493897914886,,0.10753019899129868,0.0,0.0
23,2,4,worst_replacement,1,0.4604330360889435,1000,0.10000000149011612,0.10000000149011612,0.09663666784763336,0.03,0.9673393368721008,0.03266066312789917,0.10847486555576324,0.1243247389793396,0.07995753735303879,,0.07912357151508331,0.0,0.0
24,2,4,worst_replacement,2,0.8016173243522644,1000,0.10000000149011612,0.10000000149011612,0.09644018113613129,0.03,0.9903013706207275,0.009698629379272461,0.05417833477258682,0.06775368750095367,0.11971110105514526,,0.028830936178565025,0.0,0.0
25,2,4,worst_replacement,2,0.3467865586280823,1000,0.10000000149011612,0.10000000149011612,0.08398085832595825,0.03,0.9859863519668579,0.01401364803314209,0.09241340309381485,0.11570055782794952,0.05005083233118057,,0.13433928787708282,0.0,0.0
26,2,4,worst_replacement,2,0.6752431392669678,1000,0.10000000149011612,0.10000000149011612,0.09382471442222595,0.03,0.9820917248725891,0.01790827512741089,0.09821972250938416,0.12055575847625732,0.09205036610364914,,0.05484327673912048,0.0,0.0
27,2,4,worst_replacement,0,0.9999995827674866,1000,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.03,0.9692980647087097,0.030701935291290283,0.04462309926748276,0.054901812225580215,0.1693297028541565,,0.003679507877677679,0.0,0.0
28,2,4,worst_replacement,1,0.4113939106464386,1000,0.10000000149011612,0.10000000149011612,0.09664787352085114,0.03,0.9651960730552673,0.034803926944732666,0.10982917994260788,0.13662531971931458,0.08056874573230743,,0.08308597654104233,5.960464477539063e-08,0.0
29,2,4,worst_replacement,1,0.544903576374054,1000,0.10000000149011612,0.10000000149011612,0.09990453720092773,0.03,0.9153344631195068,0.08466553688049316,0.10536891222000122,0.1291380673646927,0.07846517860889435,,0.07971491664648056,0.0,0.0
30,2,4,worst_replacement,1,0.40012678503990173,1000,0.10000000149011612,0.10000000149011612,0.09871557354927063,0.03,0.953683614730835,0.04631638526916504,0.09510894119739532,0.11557990312576294,0.0492018386721611,,0.10019831359386444,1.1920928955078125e-07,0.0
31,2,4,worst_replacement,2,0.41077619791030884,1000,0.10000000149011612,0.10000000149011612,0.086574986577034,0.03,0.9882201552391052,0.011779844760894775,0.08314156532287598,0.10069042444229126,0.06381431967020035,,0.11439505219459534,0.0,0.0
